epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.4245,0.488,1.8956,1.5327
2.0,0.5547,0.6384,1.3004,1.0918
3.0,0.7191,0.8197,0.9282,0.751
4.0,0.8902,0.918,0.6144,0.491
5.0,0.9277,0.9321,0.4083,0.3382
6.0,0.932,0.9245,0.2989,0.274
7.0,0.9381,0.947,0.2429,0.225
8.0,0.9442,0.945,0.208,0.1942
9.0,0.9525,0.9574,0.1818,0.1735
10.0,0.9593,0.9587,0.1612,0.1611
11.0,0.9651,0.9702,0.1456,0.1371
12.0,0.9701,0.9724,0.1316,0.1229
13.0,0.9722,0.9735,0.1199,0.114
14.0,0.9743,0.9765,0.1108,0.1112
15.0,0.9755,0.9756,0.1029,0.0963
16.0,0.9764,0.9715,0.0948,0.1115
17.0,0.977,0.9778,0.0892,0.0866
18.0,0.9775,0.9782,0.0839,0.0811
19.0,0.978,0.975,0.0792,0.0772
20.0,0.9781,0.9782,0.075,0.0762
21.0,0.9787,0.9789,0.0702,0.069
22.0,0.9788,0.977,0.0677,0.0696
23.0,0.9793,0.9754,0.0637,0.0678
24.0,0.9794,0.9799,0.0607,0.0594
25.0,0.9797,0.9764,0.0578,0.0654
26.0,0.9796,0.9803,0.0562,0.0564
27.0,0.9803,0.9805,0.0523,0.0533
28.0,0.981,0.9806,0.0515,0.0461
29.0,0.9818,0.981,0.0473,0.0432
30.0,0.9834,0.9811,0.0467,0.041
