Class,Accuracy,Precision,Recall,F1-Score,AUC-Score
Normal,1.0000,1.0000,1.0000,1.0000,1.0000
Scanning,1.0000,1.0000,1.0000,1.0000,1.0000
DoS,0.9998,0.9997,0.9983,0.9990,1.0000
Injection,0.9997,0.9981,0.9995,0.9988,1.0000
DDoS,0.9998,0.9995,0.9989,0.9992,1.0000
Password,0.9999,0.9995,0.9997,0.9996,1.0000
XSS,0.9997,0.9978,0.9996,0.9987,1.0000
Ransomware,0.9816,0.9886,0.8433,0.9102,0.9994
Backdoor,0.9821,0.8642,0.9930,0.9242,0.9996
MiTM,0.9996,0.9897,0.9360,0.9621,0.9994
Overall,0.9962,0.9837,0.9768,0.9792,0.9998
